Taxon;Shallow_nearshore;Deep_open;Lake;River_channel;Floodplain;Swamp_marsh;Aquatic_vegetation;High_O2;Low_O2_tolerant
Alestinae;1;NA;1;1;NA;NA;1;1;NA
Bagridae;NA;NA;1;1;NA;1;NA;NA;NA
Cichlidae;NA;NA;1;NA;NA;NA;NA;NA;NA
Clariidae;1;NA;NA;NA;1;1;NA;NA;1
Claroteidae;NA;NA;1;1;NA;NA;NA;NA;NA
Crocodylus;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyprinidae;NA;NA;NA;1;NA;NA;NA;NA;NA
Euthecodon;NA;NA;1;1;NA;NA;NA;NA;NA
Gavialoidea;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gymnarchus;1;NA;NA;NA;1;1;1;NA;1
Heterotis;1;1;1;1;NA;1;1;NA;1
Hexaprotodon;NA;NA;NA;1;NA;NA;NA;NA;NA
Hydrocynus;1;NA;1;1;NA;NA;NA;1;NA
Lates;1;1;1;1;1;NA;NA;1;NA
Libycosaurus;1;NA;NA;NA;NA;NA;NA;NA;NA
Mochokidae;1;NA;1;1;1;NA;NA;NA;1
Mormyridae;NA;NA;NA;NA;NA;NA;NA;NA;NA
Polypterus;1;NA;NA;NA;1;1;NA;NA;1
Semlikiichthys;NA;NA;1;1;NA;NA;NA;NA;NA
Synodontis;NA;NA;1;1;NA;1;NA;NA;NA
Tetraodontidae;NA;NA;1;1;NA;NA;NA;1;NA
Trionychidae;NA;1;1;1;NA;NA;NA;NA;NA
